date,community,score
2012,1,41
2012,2,58
2012,3,54
2012,4,50
2012,5,70
2012,6,58
2012,7,59
2012,8,61
2012,9,70
2012,10,61
2012,11,57
2012,12,73
2012,13,67
2012,14,55
2012,15,45
2012,16,49
2012,17,55
2012,18,50
2012,19,42
2012,20,47
2012,21,49
2012,22,45
2012,23,40
2012,24,55
2012,25,47
2012,26,54
2012,27,54
2012,28,52
2012,29,56
2012,30,50
2012,31,49
2012,32,63
2012,33,63
2012,34,55
2012,35,55
2012,36,37
2012,37,42
2012,38,46
2012,39,44
2012,40,29
2012,41,43
2012,42,43
2012,43,41
2012,44,48
2012,45,30
2012,46,36
2012,47,50
2012,48,55
2012,49,41
2012,50,45
2012,51,45
2012,52,41
2012,53,46
2012,54,35
2012,55,47
2012,56,45
2012,57,40
2012,58,49
2012,59,62
2012,60,47
2012,61,42
2012,62,40
2012,63,47
2012,64,64
2012,65,49
2012,66,35
2012,67,42
2012,68,42
2012,69,43
2012,70,42
2012,71,40
2012,72,53
2012,73,42
2012,74,66
2012,75,49
2012,76,16
2012,77,54
2013,1,51
2013,2,73
2013,3,55
2013,4,63
2013,5,68
2013,6,76
2013,7,70
2013,8,62
2013,9,86
2013,10,73
2013,11,73
2013,12,86
2013,13,76
2013,14,57
2013,15,55
2013,16,55
2013,17,63
2013,18,44
2013,19,48
2013,20,48
2013,21,47
2013,22,53
2013,23,45
2013,24,61
2013,25,55
2013,26,52
2013,27,52
2013,28,61
2013,29,44
2013,30,45
2013,31,48
2013,32,67
2013,33,58
2013,34,66
2013,35,32
2013,36,12
2013,37,49
2013,38,35
2013,39,44
2013,40,32
2013,41,48
2013,42,28
2013,43,43
2013,44,46
2013,45,41
2013,46,32
2013,47,41
2013,48,50
2013,49,49
2013,50,55
2013,51,58
2013,52,47
2013,53,42
2013,54,37
2013,55,55
2013,56,54
2013,57,50
2013,58,63
2013,59,72
2013,60,54
2013,61,43
2013,62,54
2013,63,58
2013,64,69
2013,65,64
2013,66,40
2013,67,39
2013,68,39
2013,69,36
2013,70,54
2013,71,43
2013,72,53
2013,73,48
2013,74,88
2013,75,51
2013,76,55
2013,77,56
2014,1,54
2014,2,64
2014,3,65
2014,4,71
2014,5,66
2014,6,70
2014,7,75
2014,8,62
2014,9,73
2014,10,71
2014,11,66
2014,12,81
2014,13,70
2014,14,54
2014,15,52
2014,16,59
2014,17,69
2014,18,45
2014,19,54
2014,20,62
2014,21,49
2014,22,60
2014,23,63
2014,24,71
2014,25,50
2014,26,60
2014,27,60
2014,28,58
2014,29,52
2014,30,45
2014,31,52
2014,32,48
2014,33,41
2014,34,54
2014,35,54
2014,36,46
2014,37,67
2014,38,46
2014,39,57
2014,40,38
2014,41,40
2014,42,43
2014,43,52
2014,44,49
2014,45,27
2014,46,34
2014,47,47
2014,48,62
2014,49,40
2014,50,54
2014,51,56
2014,52,48
2014,53,62
2014,54,42
2014,55,51
2014,56,57
2014,57,54
2014,58,53
2014,59,72
2014,60,59
2014,61,49
2014,62,55
2014,63,52
2014,64,66
2014,65,63
2014,66,49
2014,67,54
2014,68,54
2014,69,43
2014,70,60
2014,71,52
2014,72,50
2014,73,58
2014,74,80
2014,75,61
2014,76,40
2014,77,65
2015,1,53
2015,2,66
2015,3,61
2015,4,65
2015,5,70
2015,6,72
2015,7,75
2015,8,65
2015,9,73
2015,10,73
2015,11,72
2015,12,79
2015,13,72
2015,14,54
2015,15,55
2015,16,62
2015,17,66
2015,18,54
2015,19,58
2015,20,60
2015,21,50
2015,22,63
2015,23,62
2015,24,67
2015,25,50
2015,26,58
2015,27,58
2015,28,57
2015,29,51
2015,30,50
2015,31,54
2015,32,57
2015,33,50
2015,34,58
2015,35,49
2015,36,46
2015,37,61
2015,38,44
2015,39,58
2015,40,42
2015,41,50
2015,42,50
2015,43,51
2015,44,52
2015,45,45
2015,46,45
2015,47,48
2015,48,66
2015,49,47
2015,50,55
2015,51,56
2015,52,49
2015,53,59
2015,54,47
2015,55,52
2015,56,58
2015,57,52
2015,58,56
2015,59,70
2015,60,63
2015,61,50
2015,62,58
2015,63,53
2015,64,71
2015,65,60
2015,66,51
2015,67,53
2015,68,53
2015,69,47
2015,70,61
2015,71,53
2015,72,54
2015,73,61
2015,74,80
2015,75,58
2015,76,55
2015,77,62
2016,1,51
2016,2,68
2016,3,57
2016,4,60
2016,5,74
2016,6,73
2016,7,75
2016,8,67
2016,9,73
2016,10,75
2016,11,79
2016,12,77
2016,13,75
2016,14,55
2016,15,59
2016,16,65
2016,17,64
2016,18,63
2016,19,62
2016,20,59
2016,21,51
2016,22,65
2016,23,62
2016,24,63
2016,25,49
2016,26,57
2016,27,57
2016,28,55
2016,29,50
2016,30,55
2016,31,56
2016,32,67
2016,33,59
2016,34,62
2016,35,45
2016,36,46
2016,37,55
2016,38,42
2016,39,60
2016,40,47
2016,41,59
2016,42,56
2016,43,51
2016,44,54
2016,45,64
2016,46,56
2016,47,50
2016,48,71
2016,49,54
2016,50,57
2016,51,57
2016,52,50
2016,53,56
2016,54,53
2016,55,53
2016,56,60
2016,57,50
2016,58,59
2016,59,69
2016,60,68
2016,61,52
2016,62,61
2016,63,54
2016,64,75
2016,65,58
2016,66,53
2016,67,51
2016,68,51
2016,69,52
2016,70,62
2016,71,54
2016,72,59
2016,73,63
2016,74,81
2016,75,56
2016,76,71
2016,77,59
